Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C3, C5, C7",1206,4,1u-50V,C1848
"C10, C9",1206,2,10u,C7432781
"C11, C12, C13, C2, C4",1206,5,100n,C24497
D1,SMA_L4.3-W2.6-LS5.2-RD,1,SS34_C8678,C8678
D10,DBS_L8.4-W6.4-P5.10-LS10.2-BL,1,DB107S_C525738,C525738
"D11, D5, D7, D9",1206,4,LED,C965822
"D2, D3",1206,2,LED RED,C965822
"D4, D6, D8",SOD-123_L2.8-W1.8-LS3.7-RD,3,SD103AW_C181204,C181204
L1,IND-SMD_L7.1-W6.6_H5.0,1,SMMS0650-680M,C2894721
"Q1, Q2",SOT-23-3_L2.9-W1.3-P0.95-LS2.4-BR,2,S9013_C402281,C402281
"Q3, Q4",TO-220-3_Horizontal_TabDown,2,BT136-500,C916781
"Q5, Q6, Q7",SOT-23_L2.9-W1.3-P1.90-LS2.4-BR,3,AO3400_C2938367,C2938367
"R1, R14, R16, R17, R18, R20, R21, R25, R26, R3, R7, R8",1206,12,10k,C17902
"R10, R2, R4, R5, R6, R9",1206,6,1k,C2907440
"R11, R12",1206,2,360,C2907486
"R13, R15, R19, R27",1206,4,680,C2907528
"R22, R23",R_Axial_DIN0411_L9.9mm_D3.6mm_P7.62mm_Vertical,2,33k (1W),C20625284
"R24, R28",1206,2,0,C2907406
"R29, R30",1206,2,4.7K,C137262
"SW1, SW2",SW-SMD_L6.0-W3.5-LS8.0,2,TSB008A2526A,C2888456
"T1, T2",DIP-6_L8.5-W6.4-P2.54-LS7.6-BL,2,MOC3020M,C86911
U1,WIFIM-SMD_39P-L25.5-W18.0-P1.27-BL,1,ESP32-WROOM-32D,C473012
U2,SOIC-8_L5.0-W4.0-P1.27-LS6.0-BL,1,XL1509-5.0E1,C61063
U3,SOT-223-3_TabPin2_NOSILKSCREEN,1,AMS1117-3.3,C347222
"U4, U6",SO-8_L4.9-W3.9-P1.27-LS5.9-BL,2,MAX31855KASA+T,C52028
U5,SOP-4_L6.5-W4.6-P2.54-LS10.3-TL,1,EL817S1C(F),C2912100
